,neighbourhood,host_name,room_type,neighbourhood_group,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day,price
1632,124.3211009174312,89.5,1,0,-0.2222222222222222,0.9,-0.5000000000000001,-0.17391304347826086,-0.5647840531561462,-2.0,2.0,-0.14285714285714285,69
1633,91.04575163398692,119.0,1,3,-0.2222222222222222,-0.2,0.0,-0.15217391304347827,-0.8637873754152824,0.0,0.0,0.0,119
1634,91.04575163398692,119.0,1,3,-0.2222222222222222,-0.2,0.0,-0.15217391304347827,-0.8637873754152824,0.0,0.0,0.0,119
1635,206.16923076923078,119.0,1,3,-0.2222222222222222,-0.1,-1.0,-0.17391304347826086,-0.8637873754152824,-3.0,1.0,0.42857142857142855,119
1636,93.31746031746032,99.0,2,3,0.2222222222222222,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,99
1637,158.63002680965147,300.0,2,2,0.0,-0.1,-1.0,-0.17391304347826086,-0.8637873754152824,-3.0,1.0,0.14285714285714285,300
1638,121.58490566037736,500.0,1,1,1.5555555555555556,-0.2,0.0,-0.17391304347826086,0.3488372093023256,0.0,0.0,0.0,500
1639,161.59859154929578,136.82857142857142,2,4,-0.2222222222222222,1.0,-0.4615384615384616,-0.17391304347826086,-0.8637873754152824,-1.0,-1.0,0.42857142857142855,128
1640,166.16299137104505,60.07142857142857,1,4,9.666666666666666,0.7,-0.5961538461538463,0.08695652173913043,-0.026578073089700997,-2.0,5.0,2.142857142857143,86
1641,140.36466165413535,68.33333333333333,1,4,19.666666666666668,1.8,-0.057692307692307744,-0.13043478260869565,-0.8637873754152824,-2.0,0.0,1.4285714285714286,57
1642,145.8187134502924,137.33333333333334,1,4,3.0,0.1,-0.9038461538461539,-0.17391304347826086,0.32558139534883723,-3.0,4.0,-1.5714285714285714,168
1643,145.93710691823898,415.6666666666667,2,4,9.666666666666666,-0.2,0.0,-0.13043478260869565,0.32558139534883723,0.0,0.0,0.0,181
1644,158.63002680965147,67.5,1,2,-0.2222222222222222,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,100
1645,161.59859154929578,69.0,2,4,-0.1111111111111111,-0.1,-1.0,-0.17391304347826086,-0.8637873754152824,-3.0,0.0,0.5714285714285714,69
1646,100.390625,56.0,1,2,10.0,1.3,-0.2500000000000001,-0.17391304347826086,-0.5681063122923588,-2.0,-2.0,0.0,56
1647,151.44255319148937,83.25,1,4,-0.1111111111111111,0.2,-0.8653846153846155,-0.15217391304347827,-0.8637873754152824,-2.0,-6.0,-2.0,44
1648,95.74647887323944,87.75,2,2,9.666666666666666,0.2,-0.7884615384615385,-0.17391304347826086,0.32558139534883723,-1.0,-5.0,-1.4285714285714286,112
1649,166.16299137104505,60.07142857142857,1,4,9.666666666666666,2.1,0.11538461538461527,0.08695652173913043,-0.0033222591362126247,0.0,-2.0,-1.4285714285714286,51
1650,95.74647887323944,66.66666666666667,1,2,-0.1111111111111111,4.0,1.8846153846153846,-0.17391304347826086,0.2292358803986711,0.0,1.0,-1.2857142857142858,50
1651,91.04575163398692,93.5,1,3,3.0,2.2,3.4038461538461533,-0.17391304347826086,0.34551495016611294,0.0,0.0,1.2857142857142858,58
1652,93.31746031746032,55.0,1,3,-0.2222222222222222,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,75
1653,164.97790055248618,181.1818181818182,1,4,-0.1111111111111111,-0.1,-1.0,-0.17391304347826086,-0.8637873754152824,-3.0,0.0,-0.5714285714285714,85
1654,124.3211009174312,52.5,1,0,1.3333333333333333,-0.2,0.0,-0.15217391304347827,-0.8637873754152824,0.0,0.0,0.0,44
1655,46.25,60.0,2,3,19.666666666666668,0.0,-0.9615384615384615,-0.17391304347826086,0.34551495016611294,-3.0,0.0,-1.1428571428571428,60
1656,166.16299137104505,119.19047619047619,1,4,0.1111111111111111,-0.1,-1.0,-0.17391304347826086,-0.8637873754152824,-3.0,0.0,0.8571428571428571,78
1657,140.36466165413535,124.0,2,4,-0.2222222222222222,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,124
1658,201.27619047619046,62.0,1,4,3.0,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,62
1659,166.16299137104505,85.0,1,4,9.666666666666666,6.1,2.115384615384615,-0.17391304347826086,0.34551495016611294,-1.0,-3.0,0.7142857142857143,85
1660,201.27619047619046,109.70588235294117,1,4,3.0,1.5,-0.03846153846153849,-0.13043478260869565,0.12624584717607973,-1.0,-3.0,-1.8571428571428572,167
1661,166.16299137104505,136.63636363636363,2,4,3.0,1.4,-0.2500000000000001,0.043478260869565216,0.15282392026578073,0.0,-3.0,1.1428571428571428,87
1662,161.59859154929578,49.0,1,4,9.666666666666666,0.7,-0.5961538461538463,-0.17391304347826086,-0.8637873754152824,-2.0,3.0,-1.1428571428571428,49
1663,158.63002680965147,40.0,1,2,-0.2222222222222222,1.1,-0.38461538461538475,-0.17391304347826086,-0.8637873754152824,0.0,-1.0,1.8571428571428572,40
1664,166.16299137104505,60.07142857142857,1,4,9.666666666666666,0.0,-0.9615384615384615,0.08695652173913043,0.3488372093023256,-2.0,2.0,-1.8571428571428572,43
1665,151.44255319148937,134.9189189189189,2,4,-0.1111111111111111,-0.1,-1.0,0.3695652173913043,0.2292358803986711,-3.0,0.0,-0.2857142857142857,97
1666,164.97790055248618,138.5,2,4,19.666666666666668,0.1,-0.9038461538461539,-0.17391304347826086,-0.8637873754152824,-3.0,1.0,1.8571428571428572,181
1667,158.63002680965147,50.375,1,2,-0.2222222222222222,0.2,-0.4615384615384616,-0.021739130434782608,0.036544850498338874,0.0,1.0,-1.2857142857142858,51
1668,100.390625,166.4551724137931,2,2,3.0,-0.2,0.0,-0.15217391304347827,-0.17275747508305647,0.0,0.0,0.0,100
1669,170.50877192982455,103.5,1,4,-0.2222222222222222,1.8,0.44230769230769224,-0.15217391304347827,-0.6710963455149501,0.0,0.0,-0.14285714285714285,100
1670,151.44255319148937,81.2,1,4,-0.2222222222222222,-0.2,0.0,-0.17391304347826086,-0.8637873754152824,0.0,0.0,0.0,110
1671,166.16299137104505,136.82857142857142,1,4,-0.2222222222222222,-0.1,-1.0,0.0,0.009966777408637873,-3.0,3.0,-1.0,119
